Ano base,UF,Classe Substancia Mineral,Substancia Mineral,Quantidade (litros) Garrafao,Quantidade (litros) Garrafa Plastica,Quantidade (litros) Garrafa de Vidro,Quantidade (litros) Copo,Quantidade (litros) Outras Embalagens,Valor (R$) Garrafao,Valor (R$) Garrafa Plastica,Valor (R$) Garrafa de Vidro,Valor (R$) Copo,Valor (R$) Outras Embalagens,Quantidade (litros) Composiçao Produtos Industrializados,Valor (R$) Composiçao Produtos Industrializados,Unidade de Medida
2012,PE,Água,Água,"901189961,7","20868530,77","300254,4","913373,01",0,"77966684,37","12151871,65","246958,87","556696,31",0,1109024784,"146016,27",l
2012,PI,Água,Água,"22733790,97",4885781,0,1029586,0,"2317497,58","3528912,49",0,"948813,79",0,0,0,l
2012,PR,Água,Água,"166286000,2","37406710,29",1174332,"4486227,97",252492,"33854244,09","40023300,12","1311551,98","4506119,26","262591,68",31782172,"17053182,18",l
2012,RJ,Água,Água,"470129188,4","70746374,15",206808,"6100224,28",8747899,"26300364,83","38547888,5",60319,"3111901,76","365448,34",7078200,"50999,15",l
2012,RN,Água,Água,258259982,"10634592,8",0,"1370931,2",0,"12647739,94","8097951,62",0,"1268075,93",0,0,0,l
2012,RO,Água,Água,132514100,"12639767,28",0,"934403,4",0,"12219456,25","11075469,77",0,"955550,22",0,0,0,l
2012,RR,Água,Água,3869932,"2539186,6",0,0,0,978784,"487877,57",0,0,0,0,0,l
2012,RS,Água,Água,"171697390,8",171711044,289908,"3079156,8",13086,"37016552,09","175673509,9","501788,56","4224711,15",2181,"68169763,4","66912,18",l
2012,SC,Água,Água,"146840342,4","36608096,45","17205,7","1179459,8",2249904,24900180,"24637547,08","22266,98","1203351,61","1196637,53",0,0,l
2012,SE,Água,Água,"140487316,6","15811401,42",0,"3771137,24",0,"18906397,19","14639501,77",0,"3387807,57",0,0,0,l
2012,SP,Água,Água,"669266411,2","532380070,7","6910918,92","26374961,41","1725695,63","80271391,56","526833190,9","10585747,94","23927983,55","1552271,59",172221135,"16619377,46",l
2012,TO,Água,Água,27463740,3131368,0,"177484,4",0,"2590251,24","2651693,19",0,"157611,93",0,0,0,l
2013,AC,Água,Água,"61885893,8","3305409,2",0,0,0,"4187132,69","841039,52",0,0,0,0,0,l
2013,AL,Água,Água,202052488,"51402849,47",0,"5576394,87","579233,56","21180469,14","40511842,28",0,"2980630,48","2271719,81",0,0,l
2013,AM,Água,Água,136355440,"25587754,5",0,"652585,8",33248220,"12650603,57","24572244,21",0,"424814,69","1624426,59",28577350,"10207,16",l
